0,0.319007
250,0.475647
500,0.575808
750,0.665603
1000,0.791577
1250,0.845879
1500,0.971426
1750,0.969806
2000,1.106051
2250,1.189443
2500,1.310904
2750,1.358274
3000,1.391420
3250,1.520676
3500,1.558205
3750,1.691106
4000,1.806052
4250,1.850654
4500,1.839166
4750,2.007555
5000,2.103547
5250,2.144429
5500,2.354934
5750,2.417876
6000,2.482450
6250,2.554069
6500,2.544486
6750,2.740516
7000,2.735438
7250,2.741056
7500,2.972276
7750,2.954425
8000,3.050129
8250,2.981739
8500,3.112379
8750,3.355342
9000,3.388084
9250,3.445272
9500,3.491549
9750,3.642143
10000,3.529347
